period,accessionyear,dateend,title,url,division,century,objectnumber,totaluniquepageviews,datebegin,culture,imagepermissionlevel,rank,id,department
,,1997,"X-radiograph(s) of ""Self-Portrait""",https://www.harvardartmuseums.org/collections/object/347768,,,Straus.8275,0,1997,,0,269834,347768,Straus Center for Conservation and Technical Studies
,2007.0,1968,"Untitled (view from gunship of aerial rocket artillery hitting Viet Cong position south of Saigon, Vietnam)",https://www.harvardartmuseums.org/collections/object/324500,Modern and Contemporary Art,20th century,2007.184.2.232.4,1,1967,American,0,128755,324500,Department of Photographs
Seleucid period,,-103,Tetradrachm of Antiochos IX Kyzikenos of Syria,https://www.harvardartmuseums.org/collections/object/148533,Asian and Mediterranean Art,2nd century BCE,1.1965.2641,1,-110,Greek,0,3108,148533,Department of Ancient and Byzantine Art & Numismatics
"Roman Imperial period, Middle",1979.0,161,Denarius of Faustina I,https://www.harvardartmuseums.org/collections/object/179238,Asian and Mediterranean Art,2nd century CE,1979.429.151,1,147,Roman,0,101743,179238,Department of Ancient and Byzantine Art & Numismatics
,2011.0,1945,Untitled (men playing cards at table on circus train),https://www.harvardartmuseums.org/collections/object/135016,Modern and Contemporary Art,20th century,4.2002.7107,4,1935,American,0,26184,135016,Department of Photographs
,2011.0,1905,"Charity, Public: United States. New York. Kingston. City Almshouse: Almshouses of Kingston City, N.Y.: Tramp-house; Pest-houses",https://www.harvardartmuseums.org/collections/object/20102,Modern and Contemporary Art,19th-20th century,3.2002.1011.1,9,1895,American,0,11170,20102,Department of Photographs
"Roman Imperial period, Late",1987.0,315,Coin of Constantine,https://www.harvardartmuseums.org/collections/object/177729,Asian and Mediterranean Art,4th century CE,1987.32.162,0,314,Roman,0,111981,177729,Department of Ancient and Byzantine Art & Numismatics
"Song dynasty, Northern Song period, 960-1127",2000.0,1199,Sherd: Fragment from the Base of a Circular Vase or Bottle with Decoration of Raised Vertical Lines,https://www.harvardartmuseums.org/collections/object/174440,Asian and Mediterranean Art,11th-12th century,2000.360.10,9,1000,Chinese,0,121711,174440,Department of Asian Art
,2011.0,1875,"The Captain of the Rio Virgen, Utah",https://www.harvardartmuseums.org/collections/object/158904,European and American Art,19th century,2.2002.385,582,1865,American,0,159,158904,Department of Photographs
,,0,"Milton's Poetical Works, 2",https://www.harvardartmuseums.org/collections/object/245655,European and American Art,19th century,R304NA,0,0,British,0,244086,245655,Department of Prints
,,1960,"Untitled (Horse Dance, Java)",https://www.harvardartmuseums.org/collections/object/214408,Modern and Contemporary Art,20th century,P1970.4517.2,0,1960,American,0,236238,214408,Department of Photographs
,1981.0,1956,"Squirrel with Owl's Head, for Fogg Art Museum Letterhead",https://www.harvardartmuseums.org/collections/object/309200,Modern and Contemporary Art,20th century,1981.17.3,7,1953,American,1,102700,309200,Department of Drawings
,,1590,Adoration of the Magi,https://www.harvardartmuseums.org/collections/object/216746,European and American Art,16th century,G1663,41,1580,Dutch,0,193912,216746,Department of Prints
,1926.0,0,Landscape,https://www.harvardartmuseums.org/collections/object/299095,European and American Art,19th century,1926.33.134,7,0,British,0,53811,299095,Department of Drawings
,,1931,"[Saint-Jacques Tower, Paris]",https://www.harvardartmuseums.org/collections/object/39286,Modern and Contemporary Art,20th century,BRLF.399.8,3,1931,German,1,174087,39286,Busch-Reisinger Museum
Mughal period,1960.0,1588,"An Interlude of Birds (painting, verso; text, recto), folio 307 from a manuscript of the Divan of Anvari",https://www.harvardartmuseums.org/collections/object/169519,Asian and Mediterranean Art,16th century,1960.117.307,53,1588,Indian,0,84040,169519,Department of Islamic & Later Indian Art
,1937.0,1910,"Renaissance Palazzo, Lucca, Italy",https://www.harvardartmuseums.org/collections/object/310528,European and American Art,19th-20th century,1937.8.122,15,1910,American,0,63931,310528,Department of Drawings
,1963.0,1930,Untitled [Figures],https://www.harvardartmuseums.org/collections/object/162614,Modern and Contemporary Art,20th century,BR63.2801,2,1930,German,1,157297,162614,Busch-Reisinger Museum
,2011.0,1945,Untitled (Moore family portrait in front of Christmas tree),https://www.harvardartmuseums.org/collections/object/120629,Modern and Contemporary Art,20th century,4.2002.21793,3,1935,American,0,40170,120629,Department of Photographs
,2010.0,1988,"Being tested for radioactivity, Savannah River Plant: 300 square miles, Aiken, South Carolina",https://www.harvardartmuseums.org/collections/object/336500,Modern and Contemporary Art,20th century,2010.448.21,4,1988,American,0,134861,336500,Department of Photographs
,1985.0,1885,Untitled (two men and a boy drawing water),https://www.harvardartmuseums.org/collections/object/101808,European and American Art,19th century,P1985.30.71,0,1875,French?,0,240219,101808,Department of Photographs
"Helladic period, Late",1977.0,-1400,One of Two Joining Fragments From a Mycenaean Ephyrean Cup,https://www.harvardartmuseums.org/collections/object/198973,Asian and Mediterranean Art,15th century BCE,1977.216.2123.50.A,6,-1499,Mycenaean,0,96708,198973,Department of Ancient and Byzantine Art & Numismatics
,,1935,"Untitled (Casino Cinema, New Orleans, Louisiana)",https://www.harvardartmuseums.org/collections/object/301361,Modern and Contemporary Art,20th century,P1970.1492,3,1935,American,0,232091,301361,Department of Photographs
,1929.0,1833,Royal Writing Desk,https://www.harvardartmuseums.org/collections/object/232935,European and American Art,19th century,1929.22.6.14,1,1833,French,0,55004,232935,Department of Prints
,,1842,The Old Wholesaler,https://www.harvardartmuseums.org/collections/object/268858,European and American Art,19th century,M17344,2,1842,French,0,217914,268858,Department of Prints
,,0,Brig Run Aground in the Breakers,https://www.harvardartmuseums.org/collections/object/239871,European and American Art,19th century,R6491,5,0,French,0,249820,239871,Department of Prints
,,1927,"Bauhaus Building, Dessau, 1925-1926: South face",https://www.harvardartmuseums.org/collections/object/51916,Modern and Contemporary Art,20th century,BRGA.20.212,17,1927,German,1,161120,51916,Busch-Reisinger Museum
"Byzantine period, Early",1974.0,578,"Decanummium of Justin II, Antioch",https://www.harvardartmuseums.org/collections/object/179278,Asian and Mediterranean Art,6th century,1974.27.212,0,577,Byzantine,0,91662,179278,Department of Ancient and Byzantine Art & Numismatics
"Hellenistic period, Middle",2008.0,-146,Double Victoriate of the Thessalian League,https://www.harvardartmuseums.org/collections/object/191657,Asian and Mediterranean Art,2nd century BCE,2008.115.40,2,-196,Greek,0,132497,191657,Department of Ancient and Byzantine Art & Numismatics
,1995.0,1898,Morningside Park and St. Luke's Hospital,https://www.harvardartmuseums.org/collections/object/254131,European and American Art,19th century,M22799,1,1898,American,0,224688,254131,Department of Prints
,2011.0,1915,"Untitled (landscape with head of lake Woyayer foreground at foot of mountain, Austria)",https://www.harvardartmuseums.org/collections/object/154080,Modern and Contemporary Art,19th-20th century,2.2002.4860,1,1890,European,0,8105,154080,Department of Photographs
,1929.0,1831,Farces of M. Mayeux,https://www.harvardartmuseums.org/collections/object/233608,European and American Art,19th century,1929.22.2.6,5,1831,French,0,54814,233608,Department of Prints
,,1944,[River view with reflection],https://www.harvardartmuseums.org/collections/object/34035,Modern and Contemporary Art,20th century,BRLF.572.2,0,1935,German,1,179355,34035,Busch-Reisinger Museum
,2008.0,0,Theuerdank Has His Horse Shot under Him,https://www.harvardartmuseums.org/collections/object/362430,European and American Art,16th century,2008.326.84,0,0,German,0,133428,362430,Department of Prints
"Roman Imperial period, Late, to Early Byzantine",2005.0,405,"Solidus of Honorius, Ravenna",https://www.harvardartmuseums.org/collections/object/20369,Asian and Mediterranean Art,5th century,2005.115.349,25,402,Roman,0,125546,20369,Department of Ancient and Byzantine Art & Numismatics
,1999.0,1938,"Dormitory Furniture for Rhoads Hall, Bryn Mawr College: Desk",https://www.harvardartmuseums.org/collections/object/191831,Modern and Contemporary Art,20th century,1999.188.1,204,1938,American,1,120726,191831,Busch-Reisinger Museum
,2011.0,1948,Untitled (elderly women wearing hats),https://www.harvardartmuseums.org/collections/object/126810,Modern and Contemporary Art,20th century,4.2002.15637,0,1948,American,0,34608,126810,Department of Photographs
Roman Imperial period,1979.0,0,As of Lucius Verus,https://www.harvardartmuseums.org/collections/object/178818,Asian and Mediterranean Art,2nd century CE,1979.429.169,3,0,Roman,0,101761,178818,Department of Ancient and Byzantine Art & Numismatics
"Classical period, High",,-405,Tetradrachm of Messana,https://www.harvardartmuseums.org/collections/object/188754,Asian and Mediterranean Art,5th century BCE,1.1965.656,14,-415,Greek,0,1124,188754,Department of Ancient and Byzantine Art & Numismatics
,,0,"X-radiograph(s) of ""repose on Flight""",https://www.harvardartmuseums.org/collections/object/345216,,,Straus.5723,1,0,,0,267283,345216,Straus Center for Conservation and Technical Studies
,,1949,"[Bathers on banks of the Housatonic River, Lime Rock, Connecticut]",https://www.harvardartmuseums.org/collections/object/44410,Modern and Contemporary Art,20th century,BRLF.119.1,1,1930,American,1,168838,44410,Busch-Reisinger Museum
,2011.0,1948,"Untitled (fireman fighting house fire, dead horse on ground)",https://www.harvardartmuseums.org/collections/object/124153,Modern and Contemporary Art,20th century,4.2002.18348,1,1948,American,1,38063,124153,Department of Photographs
,1929.0,0,Towel,https://www.harvardartmuseums.org/collections/object/215272,Asian and Mediterranean Art,19th century,1929.231,13,0,Turkish,0,55368,215272,Department of Islamic & Later Indian Art
,2001.0,1955,"[Watercolor by Lyonel Feininger, 1946]",https://www.harvardartmuseums.org/collections/object/49952,Modern and Contemporary Art,20th century,BRLF.1015.91,3,1946,American,1,184824,49952,Busch-Reisinger Museum
,1963.0,1935,Untitled [Sea and Sky],https://www.harvardartmuseums.org/collections/object/162100,Modern and Contemporary Art,20th century,BR63.3279,2,1935,German,1,157776,162100,Busch-Reisinger Museum
,,1839,Great Fair of Modern Industry and Humbug,https://www.harvardartmuseums.org/collections/object/269957,European and American Art,19th century,M16548,1,1839,French,0,217118,269957,Department of Prints
,2011.0,1905,"Charity, Children: United States. New York. Ogdensburg. Orphan Asylum: City Hospital and Orphanage, Ogdensburg, N.Y. (Under the direction of the Grey Nuns of the Cross): Old Ladies Ward.",https://www.harvardartmuseums.org/collections/object/59602,Modern and Contemporary Art,19th-20th century,3.2002.154.1,176,1895,American,0,9287,59602,Department of Photographs
,,1819,"Landscape with Trees and a Tempietto; verso: Face of the Queen, for ""Belshazzar""",https://www.harvardartmuseums.org/collections/object/305616,European and American Art,19th century,8.1955.167,6,1819,American,0,42637,305616,Department of Drawings
