objectnumber,totaluniquepageviews,culture,imagepermissionlevel,rank,dated,id,title,url
BR63.653,3,German,1,155147,9/28/1908,164743,"Untitled [d'Harcourt, Couple Walking]",https://www.harvardartmuseums.org/collections/object/164743
1910.78,20,Roman,0,50223,,292848,Intaglio Gem with Shepherd,https://www.harvardartmuseums.org/collections/object/292848
1992.256.98,0,,0,114595,,289067,Bead in the Form of a Human Figure,https://www.harvardartmuseums.org/collections/object/289067
1942.176.198,5,Roman,0,66421,119-138 CE,197044,Denarius of Hadrian,https://www.harvardartmuseums.org/collections/object/197044
M21374,6,French,0,221957,19th century,272362,The Edges of the Seine at Boulogne,https://www.harvardartmuseums.org/collections/object/272362
M25110,5,American,0,228140,1971,167710,Balkans,https://www.harvardartmuseums.org/collections/object/167710
4.2002.21796,1,American,0,40173,c. 1950,120618,Untitled (picture of group of children sitting on dock),https://www.harvardartmuseums.org/collections/object/120618
BRGA.52.28,39,German,0,163917,c. 1931,52634,"Apartment House Communal Rooms for Deutsche Bauausstellung, Berlin, 1931",https://www.harvardartmuseums.org/collections/object/52634
M3392,14,American,0,205243,1894,262921,The Red Robe,https://www.harvardartmuseums.org/collections/object/262921
2.2002.1615,2,American,1,5189,1979,157717,Hempstead Harbor,https://www.harvardartmuseums.org/collections/object/157717
1951.31.4.2463,31,Persian,0,75817,10th century,182019,"Coin of Isma‘il bin Ahmad, Samarkand",https://www.harvardartmuseums.org/collections/object/182019
3.2002.621.2,2,European?,0,10367,c. 1900,20893,"Charity, Children: Belgium. Louvain. Orphan Asylums: Public Charitable Institutions, Louvain, Belgium: Orphan Asylum for Girls.: Kitchen.",https://www.harvardartmuseums.org/collections/object/20893
1980.85.184,0,Roman Provincial,0,102231,2nd century CE,186085,Coin of Antioch under Antoninus Pius,https://www.harvardartmuseums.org/collections/object/186085
2007.184.2.543.4,3,American,0,130539,1967,327398,"Untitled (pushing fishing boat into sea, Nazaré, Portugal)",https://www.harvardartmuseums.org/collections/object/327398
R10164,2,German,0,253174,1792,246252,The Boasting Hare,https://www.harvardartmuseums.org/collections/object/246252
1984.616.138,1,Greek,0,106388,187 BCE-31 BCE,176922,Coin of Thessalonike,https://www.harvardartmuseums.org/collections/object/176922
